Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RFID_DACS-01.PrjPcb|ReportField=ProjectFullPath~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.PrjPcb|ReportField=Title~Bill of Materials For Project [RFID_DACS-01.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~190|ReportField=ReportTime~4:47:53 AM|ReportField=ReportDate~10/31/2016|ReportField=ReportDateTime~10/31/2016 4:47:53 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=VersionRevision~V1I0|ReportField=TotalSheetNumber~16|ReportField=RevisionNumber~V1.0|ReportField=Project~RFID_DACS-01|ReportField=DesignedBy~AYTAC DILEK|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~10/31/2016|ReportField=CurrentTime~4:43:22 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.SchDoc|ReportField=DocumentName~RFID_DACS-01.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~AYTAC DILEK|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~10/31/2016|ReportField=Organization~|ReportField=ProjectName~RFID_DACS-01.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~RFID_DACS-01.PrjPcb|ReportField=DataSourceFullPath~E:\PROJECTS\RFID_DACS-01\RFID_DACS-01.PrjPcb
1|COIL_ANTENNA_PAD|Coil Antenna Pad|ANT1|COIL_ANTENNA_PAD|SMSC00008|1
2|BATTERY|HOLDER COIN CELL FOR CR1220 SMD|BT1|MPD_BC501SM|SBAT00011|1
3|CAP_P|CAP TANT 100UF 6.3V 20% 1210|C1|CAPMP3528X19N_EIA-1210_CASE-B|SCAP01400007|1
4|CAP_NP|CAP CER 0.1UF 25V X7R 0805, CAP CER 10UF 10V X5R 0805, CAP CER 220PF 50V X7R 0805, CAP CER 0.022UF 50V X7R 0805, CAP CER 1UF 10V X7R 0805, CAP CER 1UF 10V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.022UF 50V X7R 0805, CAP CER 18PF 50V NP0 0805, CAP CER 18PF 50V NP0 0805, CAP CER 6800PF 50V X7R 0805, CAP CER 6800PF 50V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 10000PF 50V X7R 0805, CAP CER 10000PF 50V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 6PF 50V NP0 0805, CAP CER 6PF 50V NP0 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 20PF 50V NP0 0805, CAP CER 20PF 50V NP0 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 8PF 50V NP0 0805, CAP CER 8PF 50V NP0 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 15PF 50V NP0 0805, CAP CER 15PF 50V NP0 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 15PF 50V NP0 0805, CAP CER 47PF 50V NP0 0805, CAP CER 180PF 50V NP0 0805, CAP CER 10PF 50V NP0 0805, CAP CER 47PF 50V NP0 0805, CAP CER 180PF 50V NP0 0805, CAP CER 10PF 50V NP0 0805, CAP CER 15PF 50V NP0 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805, CAP CER 0.1UF 25V X7R 0805|C2, C3, C4, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17, C19, C22, C23, C24, C25, C26, C27, C28, C29, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60|CAPC2012X100N_EIA0805|SCAP00300093, SCAP00300106, SCAP00300066, SCAP00300087, SCAP00300099, SCAP00300099, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300087, SCAP00300040, SCAP00300040, SCAP00300083, SCAP00300083, SCAP00300093, SCAP00300085, SCAP00300085, SCAP00300093, SCAP00300093, SCAP00300025, SCAP00300025, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300041, SCAP00300041, SCAP00300093, SCAP00300030, SCAP00300030, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300038, SCAP00300038, SCAP00300093, SCAP00300093, SCAP00300038, SCAP00300050, SCAP00300064, SCAP00300034, SCAP00300050, SCAP00300064, SCAP00300034, SCAP00300038, SCAP00300093, SCAP00300093, SCAP00300093, SCAP00300093|54
5|CAP_P|CAP TANT 10UF 6.3V 10% 0805|C8, C18|CAPMP2013X12N_EIA-0805_CASE-R|SCAP01400004|2
6|CAP_NP|CAP CER 1000PF 2KV X7R 1206|C20|CAPC3216X125N_EIA1206|SCAP00410036|1
7|CAP_P|CAP TANT 4.7UF 16V 10% 1206|C21, C30|CAPMP3216X16N_EIA-1206_CASE-A|SCAP01400003|2
8|DC_JACK|CONN POWER JACK MALE 2.5MM CLSD|CN1|DC_JACK|SCON00027|1
9|HR911105A|CONN MAGJACK 1PORT 100 BASE-T|CN2|HANRUN_HR911105A|SCON00127|1
10|HDR_1X16|CONN HEADER FEMALE 16POS.1" TIN|CN3|HDRFV16W70P254_1X16_4064X254X1118P|SCON00136|1
